County,State,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,Total_Cases
Fairbanks North Star,NaN,5,5,5,5,5,5,5,5,15,8.68920985154716,3.91061763941371,2.55766582596363,2.02991329521029,1.75740797855267,3.19272746890706,1.87562870743328,1.77983731927273,2.05573015977773,2.5534484352272,2.66271742548164,2.51483988844526,2.03291283172961,1.80685489830417,1.74073306829001,1.68424057228055,1.38017672949069,1.07904281023947,1.04559469916458,1.12971180563714,1.07199029058807,1.31034543005159,1.30220863780882,1.22595569845372,1.27881757263566,1.07970197454147,0.913553171614255,0.890576801141077,0.529657741627224,0.344657700668023,0.312901962111889,0.215180878918037,0.264558141234116,0.08225530190741,0.104814395399182,79
Franklin City,NaN,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,6.05747589181412,3.66070465155515,5.64340827261365,4.58207346733477,2.86457109068846,2.12271821893566,1.42152578164887,1.65115123847619,1.87437948505582,1.11747784186254,0.806043830762467,0.866548141990815,1.27049736911278,1.31455641576819,0.973423433584482,1.3417933921259,1.37120694641282,2.34314667323825,2.04035571445745,1.45666785096432,12
Galax City,NaN,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,6.05747589181412,3.66070465155515,2.82170413630682,2.40712125419537,2.16777335111723,2.01705528158765,0.958450776594573,1.0502978657647,1.30685773704545,1.60068988420982,1.9261312330302,2.27348639084395,2.62988927013602,2.98107568696738,3.31359386018675,3.61675789910438,3.88378111065939,4.11191486792755,4.30180453973752,4.45645920559773,4.58019992924207,4.67780690780111,4.75393866789452,4.81280098379875,1
Harrisonburg City,NaN,5,5,5,5,5,10,6.05747589181412,3.66070465155515,2.82170413630682,2.40712125419537,2.16777335111723,2.01705528158765,0.958450776594573,1.0502978657647,1.30685773704545,1.60068988420982,1.9261312330302,4.5469727816879,5.87757399044818,6.15791750309749,3.5279276576368,2.37097616302342,2.28263792155308,1.90521410847082,2.45974914068033,2.9329368998257,3.05632335874854,2.21986479213529,2.02545889775937,1.76615549717859,1.51608530975699,1.6694066525779,1.38324179117535,1.8151778288481,2.59507832440595,2.00652873820886,1.72157137299566,1.67823751571137,1.40727674993991,1.5636359647464,2.76782568721244,2.127590302098,1.66980359248059,1.52772206715554,252
Hawaii,NaN,5,5,5,5,5,5,5,5,5,10,6.05747589181412,3.66070465155515,2.82170413630682,3.61068188129305,2.84960848504645,2.24234122820204,1.28854195561273,3.15860190444379,2.66196530324224,2.85097102980345,2.85783102913495,2.63930409454852,2.57817000971157,1.99825256582426,1.63830049760324,1.44297102921613,1.32431711764109,1.15815687999047,0.949465965233319,0.784119241832965,0.825693277981404,0.87985681668317,1.13114027712955,1.24920381761269,1.31527266706911,1.74062083916214,1.57150890481446,1.47492838900666,1.13593785657431,0.951257049215379,0.960418945803538,1.9670155203113,1.51898846132305,1.38026468802499,64
Honolulu,NaN,6.05747589181412,5.49105697733272,3.57584704722633,2.54839640060692,2.09585430204559,1.84909822985716,1.13253099977676,2.29403136729608,2.67539103768243,3.00446161671801,2.94600987722667,4.14944887921253,4.38454044941764,3.41524213494841,2.54969843667896,2.40343142524422,1.99570822201651,1.88349986900069,1.61912826966676,1.41370499850826,1.58776153440882,1.60981703493133,1.49719779166218,1.54759213883609,1.60451579884217,1.61558062775938,1.66294901269007,1.542509759567,1.37269158874316,1.21873501990182,1.16746799454832,1.05947244473216,0.910596468001298,0.761840907089754,0.61691095289496,0.562819732012486,0.543670086734065,0.468396735105318,0.474342420825978,0.517000099810934,0.557837798116015,0.576867585898956,0.661174741106288,0.686224200266404,385
Hopewell City,NaN,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,6.05747589181412,7.32140930311029,5.15925280053875,3.02347854620414,2.62406165080239,2.7660197877168,2.41538523346783,2.11881292204723,1.39988702413711,1.58213569670245,1.47070293910963,1.21686478025905,1.0370476881739,0.778738701775705,0.683155336197936,0.750503449504002,0.330563033062613,0.384620243275588,0.475527024388168,0.289114654636538,1.08409193424643,1.25543843840411,1.28069250386815,16
Kauai,NaN,5,5,5,5,5,5,10,6.05747589181412,3.66070465155515,2.82170413630682,2.40712125419537,2.16777335111723,2.01705528158765,0.958450776594573,1.0502978657647,1.30685773704545,1.60068988420982,1.9261312330302,11.3674319542197,5.54984384615345,6.39229767423723,3.84865001435128,2.39607493328493,1.83290172807432,1.5577591721729,0.933231461358022,1.03392309923132,0.590951908050009,0.634888596322595,0.861824077683249,1.09277093829103,1.12246902234641,1.12409299970582,1.12531647765502,0.804455462641866,1.00819663217907,0.885555638613243,0.740039338750655,0.803947650374456,0.882182515800295,0.713839080379798,0.784666253510541,0.292409697875932,0.350096484000233,21
Kenai Peninsula,NaN,5,5,5,5,5,5,5,5,5,5,5,5,5,5,20,6.77378760015775,4.03541902193376,3.23180940850795,2.33543239463719,1.86164764361187,2.15384197625002,1.15104842025707,1.0722323216025,1.09936969136694,0.896547465816717,0.937561758839157,1.4994884590847,1.23075458813363,1.42346715520009,1.61235039949455,1.28067803034142,1.21670410085452,1.40052674526201,1.15864519653986,0.943010697976066,0.777211310575285,0.627459903281377,0.70454755045712,1.06764057336087,0.85901066514958,0.911977817638401,1.65630105896772,1.62568225878031,1.49028506798652,19
Ketchikan Gateway,NaN,5,5,5,5,5,5,5,5,5,10,6.05747589181412,3.66070465155515,2.82170413630682,2.40712125419537,7.58720672891032,4.26206307017417,2.8828154560332,2.92832817881189,2.1987987681851,1.90646538176482,1.62267880675575,0.959144829703543,0.937793084666116,0.731710385054178,0.520080949256412,0.587227348427464,0.507263215651142,0.587152398610568,0.455959700581366,0.538673559436697,0.647599185690427,0.381819711731053,0.468120162268253,0.604224832265753,0.773150469684084,1.9575749398216,2.11050929181572,1.97950007332131,1.89127633852209,1.82998579158665,1.78647946667699,1.75512293038117,0.866137087504312,0.965552869994747,15
