State,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,Total_Cases
Illinois,2.02113548069479,3.44489906203864,4.12789418249938,3.51158271503784,3.13817284677984,3.3237510750667,3.20829881761322,2.39316099087046,2.689679255791,3.14599755118126,3.9538309540463,3.99346140584171,3.53456066075671,2.99771208135957,3.02622388074559,2.47065110992815,2.29686445792481,2.0919008618029,2.2534517518038,2.08654902221301,1.88760798542801,2.03376366357598,1.83297667508936,1.7854264720265,1.75556487583423,1.52053903126388,1.53291790821973,1.61409710359757,1.39335966703343,1.36416829046558,1.33086494599702,1.32727738449515,1.33911267648448,1.28539519673829,1.18446087198105,1.22802902223884,1.20066897128294,1.13921903189813,1.08180649717257,1.03340752385953,1.06319334589639,1.08013984059273,1.01134241178823,0.996009413665476,31371
Indiana,5.49105697733272,8.34364311019476,6.47861792931613,3.29592862059018,2.57785611688406,1.82234138925131,2.42030946561976,1.87618787268171,2.15469740859424,1.51026521434351,1.63083626992916,2.49268919221948,5.16674584666828,2.93196478238112,3.36156889972589,2.98474115356475,3.04210184296352,2.91916398865099,4.30980640040949,2.55209891637837,2.39253312950952,2.22208468483957,2.04299608572756,1.96638652692812,1.89369836809441,1.58161666481612,1.64546435960861,1.60001058353737,1.50637967969811,1.47453702288819,1.41646412782391,1.30679457543792,1.19216303527397,1.18827919597706,1.14674374738144,1.11594392944272,1.01413546653298,0.919061822688897,0.925885503929667,0.998972713541561,1.02748739213398,1.01181857315253,1.03205934215267,1.08002910786744,11677
Iowa,5,45,12.0834803566866,3.99811676472514,2.67784444289555,2.10279534317841,1.79433015858231,1.53695740176356,1.15833410855045,1.1024816847851,1.70258911362376,1.81438115434767,1.5097511998924,2.45013913261247,2.87448560907182,2.41110890241097,2.08361525740506,1.93678512650838,2.03322031666559,2.38355507003695,2.2775948816648,1.91753650981003,2.05008252512444,1.99481041406323,1.77382515617737,1.627315662927,1.52104918106498,1.42829472712101,1.42090692114808,1.2768252848328,1.26239644443821,1.29226255627119,1.3385183653857,1.31440123144674,1.29212042661416,1.20361409011898,1.2178444858263,1.2945137983924,1.22258623566025,1.18861568507303,1.23364358358933,1.24605863959299,1.5498396133997,1.56436433127816,3151
Kansas,10,6.05747589181412,3.66070465155515,2.82170413630682,7.2213637625861,4.85003759968323,2.79208544760895,2.33586229161826,3.06263171132397,2.84190650326008,2.74390603040347,2.947042685379,2.81761285235324,2.60223409741176,2.24488752980408,2.11783923658068,1.97820997592725,2.23383012765787,2.36594436376495,2.20181053612341,2.27288449225365,2.22910066961745,2.00390550410617,1.90027753937483,1.69364828446071,1.55426027818676,1.50736717424469,1.42281205498894,1.27354688032441,1.32623722965519,1.23554598615539,1.38837031298055,1.28169549840545,1.17039735278562,1.16531888221911,1.16931901209767,1.01877492496835,0.992090659038052,0.849787343119322,0.931404571481418,1.0699590178,1.03872117837518,1.00254029396019,1.18585334512705,1985
Louisiana,5,10,18.1724276754424,13.1205922479321,6.37851238587999,5.76521505708464,7.28358875228462,4.28904087647868,3.25835059594269,3.10564880660791,3.07145203685384,3.02472930843622,2.88317922232382,2.83302122590198,2.24364297328221,2.46321964531002,2.21956999505943,2.23710804918336,2.26201146521459,2.07927387063551,1.95238416438894,1.71708665135968,1.5518064075469,1.85463554768609,1.92558853931386,2.3737703081478,2.07494457817168,2.0580934407552,1.74585553162085,1.69380742196614,1.50557139029993,1.28883004675532,1.03501291855281,0.995159274381082,0.82339133575565,0.850498786802434,0.717938978706596,0.643393954465989,0.653440471671556,0.612720106768287,0.611726046414767,0.62034196676257,0.635755612024389,0.731319928656222,24461
Maine,5,5,5,5,10,12.1149517836282,4.95857142832992,2.85413106516307,9.19688943923623,7.48086222602362,4.23466646814405,2.72574064159857,2.61429018864653,2.48725988631516,2.3197722214388,2.00603400179147,1.71482061162337,1.7146050820547,1.6377935653333,1.38835217582493,1.60033017779856,1.71043391459361,1.50507908381208,1.21367029709742,1.47263419024538,1.4856154810231,1.60648851864195,1.32461997155271,1.08427777110005,1.08213860000162,1.17285820270003,0.912505118308283,0.889877968481474,0.783173766839538,0.850524440497308,0.898617578931752,1.10233209325115,1.19570688486563,1.24762601659088,1.17399685832511,1.16245854293579,1.07736915516307,1.06133949212712,0.8131831634916,874
Maryland,4.84250282632051,4.53008964808709,3.14881155691655,2.85425765683899,2.1312878378884,1.96961882418734,3.21674169972785,2.22657854620781,1.89148135464685,2.60351970768818,3.09968242324876,2.89388610521627,3.78387054925985,2.34023882846046,2.31102598870206,2.16043152096729,2.01918079466632,1.89028239714817,2.24925721828462,2.25139148552252,2.45679004103442,2.37671629628184,2.08748104013737,1.95936878523814,1.94289952630465,1.81430358844554,1.74347012673722,1.61460397065459,1.57452624226206,1.55617566244007,1.43095176572491,1.6971510092406,1.639094320036,1.56625842012926,1.51094437674995,1.37166648876132,1.3322893559916,1.29437723267389,1.0709029978478,1.05755619041335,1.04654591023862,1.03678432892609,1.0256768367449,1.04973525139439,13678
Massachusetts,9.53215621830159,8.02436430522825,7.85732563016082,3.72980202683502,2.5631014860681,2.11646126574354,1.9086234717833,1.66493416494967,1.51430826341613,1.16177772418257,1.37270126527556,1.70804463314534,1.99870589500765,2.20717788712712,2.23643560459155,2.10957172411804,2.72384854464129,3.48889519998641,3.09135258207698,2.98015639021613,2.86473269706858,2.37386359530339,2.1255882568686,1.96421675818493,1.80788761595475,1.72817773669182,1.65274013993817,1.50728424386341,1.38810243164317,1.35944739303836,1.31388054254541,1.28199423549264,1.3332263866821,1.32493992179128,1.29626760629492,1.39427179252998,1.29604381248339,1.19404353646562,1.14575245078202,1.10902552872002,1.07947679984587,1.07563253890392,0.989257525503328,1.00073319144418,38787
Michigan,5,5,15,6.51690738866037,14.5627946173169,9.92343741230091,5.08693157305854,4.44235618182997,2.81022007143124,2.29056498282778,2.21671811093478,7.04311808428691,6.30324451858673,4.50005267588596,3.43003399841858,2.94125556207556,2.83402747268734,2.6549036537529,2.25686688932158,2.16177348632088,2.15133037286951,1.99127176916541,1.90806629586098,1.80083070724703,1.83512327733628,1.76771957275334,1.72989323943914,1.57693826055702,1.47963064820749,1.39707138018068,1.35266943633927,1.22894637499025,1.12869817151035,1.01890053555319,0.978034676014848,0.901820629588484,0.866098622653947,0.847297794930972,0.830717232868286,0.869214251936997,0.854060994964811,0.826866437667132,0.858155773806633,0.832639321297807,31280
Minnesota,3.66070465155515,2.82170413630682,3.61068188129305,3.79947798006194,8.17406456884469,5.44245632602655,3.80892528588244,2.68328990563569,4.0096101242854,2.92263748622442,2.34912788644333,2.37719729570522,2.43023665523276,2.19475281437272,2.19699985829877,2.29163688433904,2.02585342144153,1.77388877978394,1.72212775916852,1.6327467178552,1.55459680864015,1.52087011429048,1.39151526390057,1.37286822931855,1.38480833607835,1.27090221809584,1.17228314016746,1.20819722409357,1.16880689475493,1.06800724495057,1.12398172552093,1.1717431712954,1.21891563074652,1.06011617599991,1.27351916552506,1.49988694779975,1.26985105463974,1.16008586696841,1.17297594229545,1.15677076947236,1.3818761259386,1.23387778490005,1.08581865341559,1.22040465072158,2464
